City,District,District_code,POP_DEN,A014_RAT,A1564_RAT,A65_RAT,M_F_RAT,DEP_RAT,CHI_RAT,ELD_RAT,AGE_RAT,NA_INC_RAT,SO_INC_RAT,MAR_RAT,DIV_RAT,PHD_RAT,MD_RAT,BAC_RAT,GRA_RAT,SEN_RAT,JUN_RAT,ELE_RAT,ILL_RAT,INC_AVE,EXP_AVE,IND_AVE,LIH_RAT,MLH_RAT,MED_RAT,SER_AVE,BED_AVE,TV_RAT,PC_RAT,INT_RAT,BUS_RAT,MAN_RAT,HOU_RAT,MIX_RAT,PAR_RAT,LEI_RAT
臺北市,松山區,63000010,21331.20868,14.73803755,65.64910155,20.72128003,87.68,54.41,22.42,31.99,142.72,-0.12,-6.42,0.93,0.32,1.442560065,12.43791641,35.42903291,11.81455683,17.16737331,3.963254593,3.863819907,0.181203311,1549.005,1261.799,1378.588035,9.96,3.19,13.5,648.27,8.87,92.84,85.02,94.86,6.238291092,0.033377118,10.72697517,11.77027929,7.491548052,1.206959668
臺北市,信義區,63000020,18908.42903,11.71338241,68.88354096,20.96970555,90.39,47.81,16.79,31.01,184.68,-0.11,-7.95,1.08,0.32,1.221687429,10.93667422,34.26623254,11.67610419,19.5304832,5.834277086,5.872970932,0.331257078,1537.519,1200.421,1227.436181,16.18,5.85,12.94,715.08,4.97,91.64,82.2,95.84,5.755937897,0.029070393,17.6974095,10.92831456,4.80199832,0.175499042
臺北市,大安區,63000030,26307.58533,15.38052333,64.11701925,21.75809911,87.12,58.34,24.01,34.33,142.99,-0.31,-9.06,0.95,0.33,2.508606817,14.62707141,35.72807478,10.35494545,15.39557899,3.72410009,3.271426707,0.176987597,1590.202,1299.939,1564.592517,10.16,3.35,11.69,352.73,10.44,91.32,82.7,93.55,6.293201835,0.013996856,16.98572321,18.47585004,5.112082517,0.285320528
臺北市,中山區,63000040,16148.39827,12.1646209,68.86677167,20.29564052,86.31,47.54,17.55,29.99,170.89,-0.07,-7.85,1.08,0.4,1.248280107,10.69230212,33.13237744,11.85775581,20.55317184,5.833604895,5.471069592,0.242142805,1339.702,1071.429,1263.942149,14.1,4.97,14.08,457.82,9.89,95.75,81.96,92.55,13.6006374,1.214496436,12.30000646,18.52753074,17.1353819,1.360925085
臺北市,中正區,63000050,20257.12821,16.38697452,65.09623746,19.35975808,90.69,55.37,25.25,30.13,119.32,-0.19,-6.94,0.95,0.33,2.125270931,13.32204182,32.80834274,10.44984361,16.69781568,4.586691586,4.067541435,0.293968773,1450.563,1171.917,1393.375447,15.65,4.36,13.71,519.72,20.31,88.73,77.33,95.98,7.461400978,0.002153362,11.28577273,7.187923943,5.010874481,0.360688215
臺北市,大同區,63000060,21664.17319,12.86915546,68.26014543,19.49140838,93.9,47.75,18.83,28.92,153.58,-0.45,-3.68,0.95,0.41,0.81813381,7.760490718,28.19271235,11.5871146,23.60645083,7.660559776,7.570378194,0.388349515,1313.356,1012.764,1037.999643,32.55,8.73,13.69,732.83,26.35,92.76,81.72,95.96,3.347401968,0.194879304,6.426710308,8.43795086,2.96625681,0.11305153
臺北市,萬華區,63000070,20378.66293,10.330606,69.83081665,21.33084991,95.71,45.66,14.55,31.12,213.89,-1.14,-7.62,0.84,0.41,0.742255926,6.956917005,26.43184993,11.24359742,25.18348522,9.77682432,9.906538948,0.648018803,1234.736,1010.475,918.2650542,50.42,13.76,13.92,995.04,3.44,89.92,79.14,98.66,3.894356037,0.065677556,10.88201727,9.252998557,10.49333534,1.254333642
臺北市,文山區,63000080,8438.382684,13.36292006,70.17131467,17.31011528,91.43,43.96,18.92,25.04,132.31,-0.14,-4.98,0.85,0.34,1.693213231,11.5583805,32.3414258,11.55687609,19.47007165,5.050303703,5.305677266,0.35767343,1348.206,1139.546,1217.635201,23.1,8.99,13.04,1347.39,3.83,91.53,77.79,95.55,3.312948169,0.203492754,32.72357286,8.729731476,14.14436142,1.014233726
臺北市,南港區,63000090,5384.298429,12.70513409,71.24381409,17.03059368,95.06,42.08,17.74,24.34,137.24,-0.24,-4.75,0.99,0.5,1.206571093,8.919612945,29.60563237,11.64566434,21.78800401,6.699488121,7.706239478,0.522932503,1353.455,1082.222,1129.998291,24.41,9.04,18.17,1413.79,0.67,96.65,80.98,90,6.055255281,1.054070932,11.57970671,5.258511165,9.370356812,0.343461315
臺北市,內湖區,63000100,8876.806202,14.33586141,71.79845747,14.65300123,90.96,40.89,19.93,20.96,105.2,0.53,-4.23,1.11,0.41,1.019199623,10.38035374,32.90619939,12.13835715,19.33482688,5.12810451,5.151649198,0.287887328,1371.682,1206.333,1287.949931,12.16,5.44,13.2,1099.32,9.43,99.03,88.32,97.08,18.22498331,0.481276513,28.82383342,11.69383492,15.76045996,1.493356877
